Channel,Count,Energy (keV)
1,0,-1109.2588792423048
2,0,-1108.957379636938
3,0,-1108.6558800315709
4,0,-1108.354380426204
5,0,-1108.052880820837
6,0,-1107.7513812154698
7,0,-1107.449881610103
8,0,-1107.1483820047358
9,0,-1106.846882399369
10,0,-1106.5453827940019
11,0,-1106.2438831886348
12,0,-1105.9423835832679
13,0,-1105.6408839779008
14,0,-1105.339384372534
15,0,-1105.0378847671668
16,0,-1104.7363851617997
17,2,-1104.4348855564328
18,0,-1104.1333859510657
19,0,-1103.8318863456986
20,0,-1103.5303867403318
21,1,-1103.2288871349647
22,1,-1102.9273875295978
23,0,-1102.6258879242307
24,1,-1102.3243883188636
25,2,-1102.0228887134967
26,0,-1101.7213891081296
27,1,-1101.4198895027628
28,1,-1101.1183898973957
29,2,-1100.8168902920286
30,1,-1100.5153906866617
31,2,-1100.2138910812946
32,1,-1099.9123914759277
33,1,-1099.6108918705606
34,1,-1099.3093922651935
35,1,-1099.0078926598267
36,0,-1098.7063930544596
37,6,-1098.4048934490927
38,48,-1098.1033938437256
39,110,-1097.8018942383585
40,130,-1097.5003946329916
41,169,-1097.1988950276245
42,204,-1096.8973954222577
43,203,-1096.5958958168906
44,212,-1096.2943962115235
45,200,-1095.9928966061566
46,190,-1095.6913970007895
47,199,-1095.3898973954226
48,189,-1095.0883977900555
49,164,-1094.7868981846884
50,152,-1094.4853985793216
51,159,-1094.1838989739545
52,148,-1093.8823993685876
53,130,-1093.5808997632205
54,166,-1093.2794001578534
55,118,-1092.9779005524865
56,132,-1092.6764009471194
57,162,-1092.3749013417523
58,142,-1092.0734017363854
59,161,-1091.7719021310184
60,149,-1091.4704025256515
61,164,-1091.1689029202844
62,140,-1090.8674033149173
63,136,-1090.5659037095504
64,136,-1090.2644041041833
65,153,-1089.9629044988164
66,149,-1089.6614048934493
67,147,-1089.3599052880822
68,125,-1089.0584056827154
69,171,-1088.7569060773483
70,167,-1088.4554064719814
71,138,-1088.1539068666143
72,158,-1087.8524072612472
73,146,-1087.5509076558803
74,139,-1087.2494080505132
75,137,-1086.9479084451464
76,141,-1086.6464088397793
77,148,-1086.3449092344122
78,157,-1086.0434096290453
79,128,-1085.7419100236782
80,160,-1085.4404104183113
81,143,-1085.1389108129442
82,138,-1084.8374112075771
83,141,-1084.5359116022103
84,154,-1084.2344119968432
85,145,-1083.9329123914763
86,161,-1083.6314127861092
87,134,-1083.329913180742
88,156,-1083.0284135753752
89,120,-1082.7269139700081
90,128,-1082.4254143646413
91,127,-1082.1239147592742
92,148,-1081.822415153907
93,146,-1081.5209155485402
94,142,-1081.219415943173
95,162,-1080.917916337806
96,137,-1080.6164167324391
97,147,-1080.314917127072
98,156,-1080.0134175217052
99,160,-1079.711917916338
100,146,-1079.410418310971
101,135,-1079.108918705604
102,141,-1078.807419100237
103,155,-1078.50591949487
104,145,-1078.204419889503
105,141,-1077.902920284136
106,155,-1077.601420678769
107,177,-1077.299921073402
108,153,-1076.998421468035
109,147,-1076.696921862668
110,160,-1076.3954222573009
111,123,-1076.093922651934
112,144,-1075.792423046567
113,144,-1075.4909234412
114,141,-1075.189423835833
115,127,-1074.8879242304658
116,147,-1074.586424625099
117,140,-1074.2849250197319
118,148,-1073.983425414365
119,122,-1073.681925808998
120,179,-1073.3804262036308
121,143,-1073.078926598264
122,145,-1072.7774269928968
123,175,-1072.47592738753
