Time,Count,Energy (keV)
1,0,-848.242722
2,0,-847.95572
3,0,-847.668718
4,0,-847.381716
5,0,-847.094714
6,0,-846.807712
7,0,-846.52071
8,0,-846.233708
9,0,-845.946706
10,0,-845.659704
11,0,-845.372702
12,0,-845.0857
13,0,-844.798698
14,0,-844.511696
15,0,-844.224694
16,0,-843.937692
17,0,-843.6506899999999
18,1,-843.363688
19,0,-843.076686
20,1,-842.789684
21,0,-842.5026819999999
22,1,-842.21568
23,1,-841.928678
24,3,-841.641676
25,7,-841.3546739999999
26,3,-841.067672
27,9,-840.78067
28,8,-840.493668
29,8,-840.206666
30,15,-839.919664
31,14,-839.632662
32,16,-839.34566
33,16,-839.058658
34,20,-838.771656
35,14,-838.484654
36,22,-838.197652
37,64,-837.91065
38,229,-837.623648
39,644,-837.336646
40,1015,-837.049644
41,1235,-836.762642
42,1364,-836.47564
43,1431,-836.188638
44,1498,-835.9016359999999
45,1354,-835.614634
46,1455,-835.327632
47,1401,-835.04063
48,1337,-834.7536279999999
49,1318,-834.466626
50,1298,-834.179624
51,1223,-833.892622
52,1166,-833.60562
53,1120,-833.318618
54,1154,-833.031616
55,1055,-832.744614
56,1059,-832.457612
57,968,-832.17061
58,921,-831.883608
59,926,-831.596606
60,858,-831.309604
61,821,-831.022602
62,769,-830.7356
63,686,-830.448598
64,662,-830.161596
65,677,-829.874594
66,640,-829.587592
67,597,-829.3005899999999
68,646,-829.013588
69,531,-828.726586
70,517,-828.439584
71,511,-828.1525819999999
72,493,-827.86558
73,430,-827.578578
74,394,-827.291576
75,398,-827.0045739999999
76,362,-826.717572
77,330,-826.43057
78,344,-826.143568
79,328,-825.856566
80,255,-825.569564
81,313,-825.282562
82,273,-824.99556
83,246,-824.708558
84,247,-824.421556
85,245,-824.134554
86,232,-823.847552
87,219,-823.56055
88,201,-823.273548
89,196,-822.986546
90,189,-822.699544
91,200,-822.412542
92,181,-822.12554
93,149,-821.838538
94,172,-821.5515359999999
95,163,-821.264534
96,160,-820.977532
97,162,-820.69053
98,168,-820.4035279999999
99,160,-820.116526
100,130,-819.829524
101,146,-819.542522
102,143,-819.2555199999999
103,147,-818.968518
104,144,-818.681516
105,154,-818.394514
106,151,-818.107512
107,153,-817.82051
108,161,-817.533508
109,133,-817.246506
110,138,-816.959504
111,156,-816.672502
112,123,-816.3855
113,132,-816.098498
114,136,-815.811496
115,122,-815.524494
116,142,-815.237492
117,151,-814.95049
118,138,-814.663488
119,161,-814.376486
120,128,-814.089484
121,135,-813.8024819999999
122,142,-813.51548
123,134,-813.228478
124,140,-812.941476
125,155,-812.6544739999999
126,155,-812.367472
127,138,-812.08047
128,169,-811.793468
129,148,-811.506466
130,157,-811.219464
131,141,-810.932462
132,136,-810.64546
133,143,-810.358458
134,144,-810.071456
135,147,-809.784454
136,137,-809.497452
137,141,-809.21045
138,135,-808.923448
139,151,-808.636446
140,136,-808.349444
141,154,-808.062442
142,148,-807.77544
143,138,-807.488438
144,149,-807.201436
145,144,-806.914434
146,147,-806.627432
147,160,-806.34043
148,131,-806.0534279999999
149,151,-805.766426
150,139,-805.479424
151,172,-805.192422
152,153,-804.90542
153,169,-804.618418
154,158,-804.331416
155,132,-804.044414
156,138,-803.7574119999999
157,164,-803.47041
158,161,-803.183408
159,148,-802.896406
160,145,-802.609404
161,167,-802.322402
162,139,-802.0354
163,169,-801.748398
164,133,-801.461396
165,153,-801.174394
166,158,-800.887392
167,162,-800.60039
168,158,-800.313388
169,134,-800.026386
170,181,-799.739384
171,178,-799.452382
172,150,-799.16538
173,132,-798.878378
174,143,-798.591376
175,147,-798.3043739999999
176,156,-798.017372
177,175,-797.73037
178,164,-797.443368
179,153,-797.1563659999999
180,150,-796.869364
181,159,-796.582362
182,167,-796.29536
183,153,-796.008358
184,140,-795.721356
185,154,-795.434354
186,184,-795.147352
187,161,-794.86035
188,152,-794.573348
189,169,-794.286346
190,155,-793.999344
191,169,-793.712342
192,169,-793.42534
193,162,-793.138338
194,169,-792.851336
195,175,-792.564334
196,193,-792.277332
197,154,-791.99033
198,159,-791.7033279999999
199,198,-791.416326
200,157,-791.129324
201,158,-790.842322
202,186,-790.5553199999999
203,185,-790.268318
204,161,-789.981316
205,193,-789.694314
206,173,-789.407312
207,189,-789.12031
208,184,-788.833308
209,175,-788.546306
210,182,-788.259304
211,168,-787.972302
212,184,-787.6853
213,185,-787.398298
214,183,-787.111296
215,182,-786.824294
216,180,-786.537292
217,204,-786.25029
218,195,-785.963288
219,200,-785.676286
220,195,-785.389284
221,189,-785.102282
222,186,-784.81528
223,220,-784.528278
224,190,-784.241276
225,193,-783.9542739999999
226,206,-783.667272
227,216,-783.38027
228,179,-783.093268
229,197,-782.806266
230,211,-782.519264
231,199,-782.232262
232,174,-781.94526
233,194,-781.6582579999999
234,186,-781.371256
235,202,-781.084254
236,216,-780.797252
237,212,-780.51025
238,223,-780.223248
239,216,-779.936246
240,234,-779.649244
241,234,-779.362242
242,217,-779.07524
243,220,-778.788238
244,238,-778.501236
245,239,-778.214234
246,207,-777.927232
247,208,-777.64023
248,257,-777.353228
249,237,-777.066226
250,254,-776.779224
251,241,-776.492222
252,269,-776.20522
253,242,-775.918218
254,257,-775.631216
255,238,-775.344214
256,208,-775.0572119999999
257,256,-774.77021
258,240,-774.483208
259,239,-774.196206
260,263,-773.909204
261,266,-773.622202
262,281,-773.3352
263,276,-773.048198
264,275,-772.761196
265,304,-772.474194
266,290,-772.187192
267,305,-771.90019
268,292,-771.613188
269,290,-771.326186
270,319,-771.039184
271,317,-770.752182
272,317,-770.46518
273,302,-770.178178
274,348,-769.891176
275,320,-769.604174
276,320,-769.317172
277,383,-769.03017
278,312,-768.743168
279,350,-768.4561659999999
280,376,-768.169164
281,361,-767.882162
282,357,-767.59516
283,399,-767.308158
284,347,-767.021156
285,396,-766.734154
286,391,-766.447152
287,453,-766.1601499999999
288,424,-765.873148
289,441,-765.586146
290,480,-765.299144
291,500,-765.012142
292,513,-764.72514
293,505,-764.438138
294,509,-764.151136
295,582,-763.864134
296,545,-763.577132
297,604,-763.29013
298,606,-763.003128
299,621,-762.716126
300,636,-762.429124
301,655,-762.142122
302,710,-761.8551199999999
303,735,-761.568118
