Time,Count,Energy (keV)
1,0,-848.242722
2,0,-847.95572
3,0,-847.668718
4,0,-847.381716
5,0,-847.094714
6,0,-846.807712
7,0,-846.52071
8,0,-846.233708
9,0,-845.946706
10,0,-845.659704
11,0,-845.372702
12,0,-845.0857
13,0,-844.798698
14,0,-844.511696
15,0,-844.224694
16,0,-843.937692
17,0,-843.6506899999999
18,0,-843.363688
19,0,-843.076686
20,0,-842.789684
21,0,-842.5026819999999
22,0,-842.21568
23,0,-841.928678
24,0,-841.641676
25,0,-841.3546739999999
26,1,-841.067672
27,0,-840.78067
28,0,-840.493668
29,0,-840.206666
30,0,-839.919664
31,0,-839.632662
32,0,-839.34566
33,0,-839.058658
34,0,-838.771656
35,0,-838.484654
36,0,-838.197652
37,0,-837.91065
38,4,-837.623648
39,9,-837.336646
40,24,-837.049644
41,13,-836.762642
42,26,-836.47564
43,28,-836.188638
44,32,-835.9016359999999
45,24,-835.614634
46,19,-835.327632
47,23,-835.04063
48,26,-834.7536279999999
49,22,-834.466626
50,13,-834.179624
51,18,-833.892622
52,19,-833.60562
53,26,-833.318618
54,16,-833.031616
55,16,-832.744614
56,17,-832.457612
57,14,-832.17061
58,22,-831.883608
59,22,-831.596606
60,8,-831.309604
61,18,-831.022602
62,16,-830.7356
63,20,-830.448598
64,18,-830.161596
65,17,-829.874594
66,15,-829.587592
67,15,-829.3005899999999
68,21,-829.013588
69,18,-828.726586
70,14,-828.439584
71,15,-828.1525819999999
72,23,-827.86558
73,22,-827.578578
74,17,-827.291576
75,13,-827.0045739999999
76,20,-826.717572
77,14,-826.43057
78,15,-826.143568
79,20,-825.856566
80,12,-825.569564
81,13,-825.282562
82,21,-824.99556
83,21,-824.708558
84,16,-824.421556
85,12,-824.134554
86,14,-823.847552
87,19,-823.56055
88,10,-823.273548
89,12,-822.986546
90,20,-822.699544
91,17,-822.412542
92,13,-822.12554
93,19,-821.838538
94,8,-821.5515359999999
95,14,-821.264534
96,20,-820.977532
97,11,-820.69053
98,28,-820.4035279999999
99,10,-820.116526
100,7,-819.829524
101,17,-819.542522
102,14,-819.2555199999999
103,15,-818.968518
104,11,-818.681516
105,12,-818.394514
106,10,-818.107512
107,16,-817.82051
108,15,-817.533508
109,7,-817.246506
110,13,-816.959504
111,11,-816.672502
112,13,-816.3855
113,10,-816.098498
114,13,-815.811496
115,15,-815.524494
116,15,-815.237492
117,19,-814.95049
118,11,-814.663488
119,14,-814.376486
120,11,-814.089484
121,11,-813.8024819999999
122,14,-813.51548
123,17,-813.228478
124,11,-812.941476
125,19,-812.6544739999999
126,20,-812.367472
127,18,-812.08047
128,19,-811.793468
129,10,-811.506466
130,11,-811.219464
131,11,-810.932462
132,17,-810.64546
133,17,-810.358458
134,16,-810.071456
135,18,-809.784454
136,18,-809.497452
137,19,-809.21045
138,15,-808.923448
139,13,-808.636446
140,15,-808.349444
141,13,-808.062442
142,10,-807.77544
143,11,-807.488438
144,10,-807.201436
145,15,-806.914434
146,9,-806.627432
147,13,-806.34043
148,13,-806.0534279999999
149,14,-805.766426
150,14,-805.479424
151,22,-805.192422
152,24,-804.90542
153,11,-804.618418
154,15,-804.331416
155,21,-804.044414
156,14,-803.7574119999999
157,13,-803.47041
158,21,-803.183408
159,23,-802.896406
160,16,-802.609404
161,14,-802.322402
162,12,-802.0354
163,20,-801.748398
164,14,-801.461396
165,20,-801.174394
166,15,-800.887392
167,15,-800.60039
168,15,-800.313388
169,24,-800.026386
170,12,-799.739384
171,20,-799.452382
172,17,-799.16538
173,18,-798.878378
174,23,-798.591376
175,22,-798.3043739999999
176,18,-798.017372
177,13,-797.73037
178,14,-797.443368
179,17,-797.1563659999999
180,12,-796.869364
181,21,-796.582362
182,12,-796.29536
183,12,-796.008358
184,21,-795.721356
185,18,-795.434354
186,15,-795.147352
187,14,-794.86035
188,12,-794.573348
189,18,-794.286346
190,15,-793.999344
191,17,-793.712342
192,18,-793.42534
193,17,-793.138338
194,21,-792.851336
195,14,-792.564334
196,12,-792.277332
197,16,-791.99033
198,19,-791.7033279999999
199,22,-791.416326
200,14,-791.129324
201,17,-790.842322
202,24,-790.5553199999999
203,20,-790.268318
204,20,-789.981316
205,19,-789.694314
206,13,-789.407312
207,16,-789.12031
208,19,-788.833308
209,16,-788.546306
210,12,-788.259304
211,21,-787.972302
212,20,-787.6853
213,17,-787.398298
214,9,-787.111296
215,13,-786.824294
216,17,-786.537292
217,15,-786.25029
218,17,-785.963288
219,13,-785.676286
220,19,-785.389284
221,21,-785.102282
222,16,-784.81528
223,14,-784.528278
224,24,-784.241276
225,19,-783.9542739999999
226,16,-783.667272
227,14,-783.38027
228,15,-783.093268
229,24,-782.806266
230,19,-782.519264
231,22,-782.232262
232,12,-781.94526
233,18,-781.6582579999999
234,15,-781.371256
235,17,-781.084254
236,11,-780.797252
237,11,-780.51025
238,13,-780.223248
239,15,-779.936246
240,14,-779.649244
241,14,-779.362242
242,21,-779.07524
243,19,-778.788238
244,11,-778.501236
245,14,-778.214234
246,21,-777.927232
247,19,-777.64023
248,15,-777.353228
249,20,-777.066226
250,23,-776.779224
251,27,-776.492222
252,14,-776.20522
253,16,-775.918218
254,14,-775.631216
255,18,-775.344214
256,21,-775.0572119999999
257,18,-774.77021
258,14,-774.483208
259,16,-774.196206
260,20,-773.909204
261,12,-773.622202
262,14,-773.3352
263,14,-773.048198
264,20,-772.761196
265,17,-772.474194
266,13,-772.187192
267,17,-771.90019
268,18,-771.613188
269,18,-771.326186
270,14,-771.039184
271,15,-770.752182
272,15,-770.46518
273,18,-770.178178
274,12,-769.891176
275,17,-769.604174
276,19,-769.317172
277,13,-769.03017
278,17,-768.743168
279,21,-768.4561659999999
280,21,-768.169164
281,18,-767.882162
282,9,-767.59516
283,14,-767.308158
284,12,-767.021156
285,15,-766.734154
286,21,-766.447152
287,18,-766.1601499999999
288,10,-765.873148
289,19,-765.586146
290,16,-765.299144
291,13,-765.012142
292,13,-764.72514
293,22,-764.438138
294,11,-764.151136
295,15,-763.864134
296,18,-763.577132
297,20,-763.29013
298,18,-763.003128
299,9,-762.716126
300,13,-762.429124
301,17,-762.142122
302,20,-761.8551199999999
303,18,-761.568118
304,20,-761.281116
305,23,-760.994114
