Time,Count,Energy (keV)
1,0,-848.242722
2,0,-847.95572
3,0,-847.668718
4,0,-847.381716
5,0,-847.094714
6,0,-846.807712
7,0,-846.52071
8,0,-846.233708
9,0,-845.946706
10,0,-845.659704
11,0,-845.372702
12,0,-845.0857
13,0,-844.798698
14,0,-844.511696
15,0,-844.224694
16,0,-843.937692
17,0,-843.6506899999999
18,0,-843.363688
19,0,-843.076686
20,3,-842.789684
21,0,-842.5026819999999
22,0,-842.21568
23,1,-841.928678
24,0,-841.641676
25,0,-841.3546739999999
26,1,-841.067672
27,0,-840.78067
28,0,-840.493668
29,2,-840.206666
30,6,-839.919664
31,121,-839.632662
32,1206,-839.34566
33,8282,-839.058658
34,26018,-838.771656
35,44596,-838.484654
36,46069,-838.197652
37,35181,-837.91065
38,26716,-837.623648
39,22919,-837.336646
40,20744,-837.049644
41,19404,-836.762642
42,18288,-836.47564
43,18049,-836.188638
44,17424,-835.9016359999999
45,17536,-835.614634
46,17240,-835.327632
47,17290,-835.04063
48,17456,-834.7536279999999
49,17326,-834.466626
50,18298,-834.179624
51,20426,-833.892622
52,24494,-833.60562
53,33570,-833.318618
54,47849,-833.031616
55,65996,-832.744614
56,85238,-832.457612
57,101644,-832.17061
58,113394,-831.883608
59,115910,-831.596606
60,103260,-831.309604
61,67914,-831.022602
62,30373,-830.7356
63,11601,-830.448598
64,7338,-830.161596
65,6753,-829.874594
66,6663,-829.587592
67,6739,-829.3005899999999
68,6818,-829.013588
69,6933,-828.726586
70,6865,-828.439584
71,6875,-828.1525819999999
72,6909,-827.86558
73,6920,-827.578578
74,6958,-827.291576
75,6948,-827.0045739999999
76,6831,-826.717572
77,6781,-826.43057
78,6842,-826.143568
79,6809,-825.856566
80,6745,-825.569564
81,6590,-825.282562
82,6563,-824.99556
83,6544,-824.708558
84,6426,-824.421556
85,6373,-824.134554
86,6255,-823.847552
87,6332,-823.56055
88,6358,-823.273548
89,6278,-822.986546
90,6120,-822.699544
91,6092,-822.412542
92,6119,-822.12554
93,6008,-821.838538
94,6106,-821.5515359999999
95,6039,-821.264534
96,6044,-820.977532
97,6029,-820.69053
98,5980,-820.4035279999999
99,5933,-820.116526
100,6050,-819.829524
101,6173,-819.542522
102,6056,-819.2555199999999
103,6000,-818.968518
104,6031,-818.681516
105,6104,-818.394514
106,6148,-818.107512
107,6218,-817.82051
108,6258,-817.533508
109,6242,-817.246506
110,6388,-816.959504
111,6581,-816.672502
112,6527,-816.3855
113,6770,-816.098498
114,6849,-815.811496
115,6985,-815.524494
116,7063,-815.237492
117,7400,-814.95049
118,7466,-814.663488
119,7666,-814.376486
120,7889,-814.089484
121,7963,-813.8024819999999
122,8542,-813.51548
123,8928,-813.228478
124,9720,-812.941476
125,10529,-812.6544739999999
126,11385,-812.367472
127,12931,-812.08047
128,14515,-811.793468
129,16341,-811.506466
130,18393,-811.219464
131,20763,-810.932462
132,22988,-810.64546
133,24625,-810.358458
134,26753,-810.071456
135,27762,-809.784454
136,28266,-809.497452
137,27940,-809.21045
138,27598,-808.923448
139,25852,-808.636446
140,23893,-808.349444
141,21399,-808.062442
142,18828,-807.77544
143,16043,-807.488438
144,13120,-807.201436
145,10743,-806.914434
146,8362,-806.627432
147,6546,-806.34043
148,4956,-806.0534279999999
149,3788,-805.766426
150,2868,-805.479424
151,2160,-805.192422
152,1606,-804.90542
153,1194,-804.618418
154,953,-804.331416
155,766,-804.044414
156,626,-803.7574119999999
157,540,-803.47041
158,479,-803.183408
159,427,-802.896406
160,390,-802.609404
161,322,-802.322402
162,286,-802.0354
163,278,-801.748398
164,260,-801.461396
165,257,-801.174394
166,218,-800.887392
167,244,-800.60039
168,200,-800.313388
169,191,-800.026386
170,225,-799.739384
171,200,-799.452382
172,163,-799.16538
173,176,-798.878378
174,189,-798.591376
175,186,-798.3043739999999
176,190,-798.017372
177,175,-797.73037
178,174,-797.443368
179,177,-797.1563659999999
180,162,-796.869364
181,179,-796.582362
182,150,-796.29536
183,152,-796.008358
184,167,-795.721356
185,144,-795.434354
186,161,-795.147352
187,169,-794.86035
188,133,-794.573348
189,157,-794.286346
190,155,-793.999344
191,148,-793.712342
192,133,-793.42534
193,141,-793.138338
194,123,-792.851336
195,163,-792.564334
196,150,-792.277332
197,146,-791.99033
198,158,-791.7033279999999
199,133,-791.416326
200,144,-791.129324
201,123,-790.842322
202,146,-790.5553199999999
203,142,-790.268318
204,142,-789.981316
205,165,-789.694314
206,136,-789.407312
207,153,-789.12031
208,139,-788.833308
209,132,-788.546306
210,128,-788.259304
211,140,-787.972302
212,141,-787.6853
213,140,-787.398298
214,148,-787.111296
215,133,-786.824294
216,138,-786.537292
217,154,-786.25029
218,139,-785.963288
219,114,-785.676286
220,135,-785.389284
221,141,-785.102282
222,125,-784.81528
223,147,-784.528278
224,129,-784.241276
225,143,-783.9542739999999
226,131,-783.667272
227,160,-783.38027
228,127,-783.093268
229,119,-782.806266
230,134,-782.519264
231,139,-782.232262
232,132,-781.94526
233,153,-781.6582579999999
234,145,-781.371256
235,129,-781.084254
236,109,-780.797252
237,129,-780.51025
238,147,-780.223248
239,139,-779.936246
240,151,-779.649244
241,149,-779.362242
242,157,-779.07524
243,127,-778.788238
244,134,-778.501236
245,153,-778.214234
246,119,-777.927232
247,139,-777.64023
248,136,-777.353228
249,160,-777.066226
250,152,-776.779224
251,156,-776.492222
252,149,-776.20522
253,152,-775.918218
254,133,-775.631216
255,150,-775.344214
256,124,-775.0572119999999
257,144,-774.77021
258,155,-774.483208
259,125,-774.196206
260,163,-773.909204
261,140,-773.622202
262,154,-773.3352
263,159,-773.048198
264,174,-772.761196
265,160,-772.474194
266,150,-772.187192
267,155,-771.90019
268,153,-771.613188
269,159,-771.326186
270,163,-771.039184
271,159,-770.752182
272,154,-770.46518
273,154,-770.178178
274,159,-769.891176
275,163,-769.604174
276,139,-769.317172
277,162,-769.03017
278,166,-768.743168
279,154,-768.4561659999999
280,165,-768.169164
281,180,-767.882162
282,184,-767.59516
283,183,-767.308158
284,163,-767.021156
285,202,-766.734154
286,173,-766.447152
287,181,-766.1601499999999
288,158,-765.873148
289,198,-765.586146
290,189,-765.299144
291,194,-765.012142
292,184,-764.72514
293,183,-764.438138
