Time,Count,Energy (keV)
1,0,-848.242722
2,0,-847.95572
3,0,-847.668718
4,0,-847.381716
5,0,-847.094714
6,0,-846.807712
7,0,-846.52071
8,0,-846.233708
9,0,-845.946706
10,0,-845.659704
11,0,-845.372702
12,0,-845.0857
13,0,-844.798698
14,0,-844.511696
15,0,-844.224694
16,0,-843.937692
17,0,-843.6506899999999
18,0,-843.363688
19,0,-843.076686
20,0,-842.789684
21,3,-842.5026819999999
22,1,-842.21568
23,2,-841.928678
24,2,-841.641676
25,1,-841.3546739999999
26,2,-841.067672
27,4,-840.78067
28,4,-840.493668
29,24,-840.206666
30,272,-839.919664
31,2365,-839.632662
32,17217,-839.34566
33,78305,-839.058658
34,199313,-838.771656
35,283380,-838.484654
36,251303,-838.197652
37,179962,-837.91065
38,137262,-837.623648
39,113193,-837.336646
40,97056,-837.049644
41,86498,-836.762642
42,78741,-836.47564
43,73429,-836.188638
44,69106,-835.9016359999999
45,66168,-835.614634
46,63440,-835.327632
47,62407,-835.04063
48,59769,-834.7536279999999
49,58472,-834.466626
50,57391,-834.179624
51,57753,-833.892622
52,61349,-833.60562
53,70551,-833.318618
54,86479,-833.031616
55,111846,-832.744614
56,142668,-832.457612
57,173765,-832.17061
58,198133,-831.883608
59,212268,-831.596606
60,212431,-831.309604
61,182307,-831.022602
62,118351,-830.7356
63,58933,-830.448598
64,30388,-830.161596
65,23362,-829.874594
66,22369,-829.587592
67,21895,-829.3005899999999
68,21302,-829.013588
69,20872,-828.726586
70,20370,-828.439584
71,19911,-828.1525819999999
72,19448,-827.86558
73,18893,-827.578578
74,18264,-827.291576
75,17882,-827.0045739999999
76,17115,-826.717572
77,16957,-826.43057
78,16530,-826.143568
79,16187,-825.856566
80,16146,-825.569564
81,15651,-825.282562
82,15425,-824.99556
83,15305,-824.708558
84,14958,-824.421556
85,14712,-824.134554
86,14600,-823.847552
87,14348,-823.56055
88,13865,-823.273548
89,13777,-822.986546
90,13450,-822.699544
91,13607,-822.412542
92,13323,-822.12554
93,13273,-821.838538
94,12921,-821.5515359999999
95,12961,-821.264534
96,13011,-820.977532
97,12732,-820.69053
98,12734,-820.4035279999999
99,12424,-820.116526
100,12601,-819.829524
101,12494,-819.542522
102,12376,-819.2555199999999
103,12118,-818.968518
104,12284,-818.681516
105,11826,-818.394514
106,12015,-818.107512
107,12052,-817.82051
108,11928,-817.533508
109,12129,-817.246506
110,12378,-816.959504
111,12253,-816.672502
112,12571,-816.3855
113,12808,-816.098498
114,13037,-815.811496
115,13356,-815.524494
116,13688,-815.237492
117,14195,-814.95049
118,14672,-814.663488
119,15063,-814.376486
120,16105,-814.089484
121,16193,-813.8024819999999
122,16945,-813.51548
123,18075,-813.228478
124,19165,-812.941476
125,20066,-812.6544739999999
126,20956,-812.367472
127,22191,-812.08047
128,22953,-811.793468
129,24601,-811.506466
130,25433,-811.219464
131,26266,-810.932462
132,27282,-810.64546
133,28461,-810.358458
134,29193,-810.071456
135,29458,-809.784454
136,29744,-809.497452
137,29683,-809.21045
138,29448,-808.923448
139,28998,-808.636446
140,28349,-808.349444
141,27815,-808.062442
142,26562,-807.77544
143,25381,-807.488438
144,23894,-807.201436
145,22661,-806.914434
146,21078,-806.627432
147,19909,-806.34043
148,17748,-806.0534279999999
149,16441,-805.766426
150,15078,-805.479424
151,13369,-805.192422
152,11918,-804.90542
153,10554,-804.618418
154,9332,-804.331416
155,8190,-804.044414
156,7046,-803.7574119999999
157,5999,-803.47041
158,5267,-803.183408
159,4402,-802.896406
160,3831,-802.609404
161,3160,-802.322402
162,2628,-802.0354
163,2217,-801.748398
164,1947,-801.461396
165,1681,-801.174394
166,1371,-800.887392
167,1202,-800.60039
168,1060,-800.313388
169,869,-800.026386
170,768,-799.739384
171,718,-799.452382
172,682,-799.16538
173,571,-798.878378
174,578,-798.591376
175,517,-798.3043739999999
176,524,-798.017372
177,468,-797.73037
178,478,-797.443368
179,459,-797.1563659999999
180,467,-796.869364
181,455,-796.582362
182,458,-796.29536
183,424,-796.008358
184,444,-795.721356
185,405,-795.434354
186,390,-795.147352
187,412,-794.86035
188,408,-794.573348
189,426,-794.286346
190,374,-793.999344
191,448,-793.712342
192,396,-793.42534
193,413,-793.138338
194,406,-792.851336
195,370,-792.564334
196,430,-792.277332
197,388,-791.99033
198,338,-791.7033279999999
199,389,-791.416326
200,410,-791.129324
201,401,-790.842322
202,369,-790.5553199999999
203,386,-790.268318
204,398,-789.981316
205,351,-789.694314
206,362,-789.407312
207,382,-789.12031
208,394,-788.833308
209,397,-788.546306
210,390,-788.259304
211,396,-787.972302
212,389,-787.6853
213,399,-787.398298
214,405,-787.111296
215,399,-786.824294
216,361,-786.537292
217,403,-786.25029
218,354,-785.963288
219,384,-785.676286
220,406,-785.389284
221,375,-785.102282
222,388,-784.81528
223,345,-784.528278
224,372,-784.241276
225,416,-783.9542739999999
226,401,-783.667272
227,406,-783.38027
228,403,-783.093268
229,372,-782.806266
230,375,-782.519264
231,437,-782.232262
232,411,-781.94526
233,406,-781.6582579999999
234,413,-781.371256
235,400,-781.084254
236,391,-780.797252
237,393,-780.51025
238,386,-780.223248
239,422,-779.936246
240,397,-779.649244
241,430,-779.362242
242,409,-779.07524
243,434,-778.788238
244,393,-778.501236
245,408,-778.214234
246,401,-777.927232
247,397,-777.64023
248,367,-777.353228
249,377,-777.066226
250,427,-776.779224
251,444,-776.492222
252,420,-776.20522
253,436,-775.918218
254,413,-775.631216
255,385,-775.344214
256,426,-775.0572119999999
257,424,-774.77021
258,409,-774.483208
259,440,-774.196206
260,417,-773.909204
261,450,-773.622202
262,390,-773.3352
263,412,-773.048198
264,450,-772.761196
265,422,-772.474194
266,445,-772.187192
267,457,-771.90019
268,442,-771.613188
269,466,-771.326186
270,423,-771.039184
271,418,-770.752182
272,459,-770.46518
273,444,-770.178178
274,423,-769.891176
275,408,-769.604174
276,445,-769.317172
277,442,-769.03017
278,428,-768.743168
279,503,-768.4561659999999
280,461,-768.169164
281,476,-767.882162
282,470,-767.59516
283,483,-767.308158
284,466,-767.021156
285,467,-766.734154
286,485,-766.447152
287,462,-766.1601499999999
288,432,-765.873148
289,461,-765.586146
290,458,-765.299144
291,463,-765.012142
